date,description,amount,forex_ref
2026-01-05,"GROQ INC, MOUNTAIN VIEW [USD 6.43]",-580.98,USD 6.43
2026-01-12,"NETFLIX, MUMBAI",-649.0,
2026-01-12,"MICROSOFTBUS, MUMBAI",-30892.4,
2026-01-14,"GOOGLEPLAY, MUMBAI",-1950.0,
2026-01-14,"PVR LIMITED, CHENNAI",-1629.0,
2025-06-21,"WAL-MART #5959, HOUSTON [USD 173.03]",-15002.91,USD 173.03
2025-06-21,"CHARLEYS PHILLY STEAKS, HOUSTON [USD 8.22]",-712.73,USD 8.22
2025-06-21,"RESIDENCE INN BEAUMONT, BEAUMONT [USD 890.12]",-76748.82,USD 890.12
2025-06-23,"TST* POPEYES, HOUSTON [USD 8.62]",-747.41,USD 8.62
2025-06-23,"QDF F AND B, Doha [QAR 29.00]",-690.09,QAR 29.00
2025-06-23,"LYFT *1 RIDE 06-22, SAN FRANCISCO [USD 25.99]",-2253.51,USD 25.99
2025-06-24,"JOE & THE JUICE HIA, DOHA [QAR 22.00]",-523.52,QAR 22.00
2025-06-26,"AMAZON MKTPLACE PMTS, Amzn.com/bill [USD 42.78]",3679.72,USD 42.78
2025-06-26,"AMAZON PAY INDIA PRIVA, Bangalore",-2755.51,
2025-06-27,"GITHUB, INC., SAN FRANCISCO [USD 1.33]",-114.06,USD 1.33
2025-06-27,"MICROSOFTBUS, MUMBAI",-30247.59,
2025-06-28,"IND*LINKEDIN (PGSI), www.linkedin.",-7106.0,
2025-06-30,BillDesk BBPS CC Payment/IF035181BAIAAAADPYCU,197813.49,
2025-07-02,"GITHUB, INC., SAN FRANCISCO [USD 223.37]",-19145.04,USD 223.37
2025-07-03,"SUPABASE, SINGAPORE [USD 26.93]",-2305.37,USD 26.93
2025-07-05,"IND*LINKEDIN (PGSI), www.linkedin.",-928.0,
2025-07-06,"COCO INDIRA NAGAR, CHENNAI",-505.9,
2025-07-08,Surcharge waiver for fuel txn,5.0,
2025-07-08,"AMAZON PAY INDIA PRIVA, www.amazon.in",-3996.56,
2025-07-09,"ZOHO CORPORATION PR, TIRUNELVELI",-6375.89,
2025-07-10,"IND*LINKEDIN (PGSI), www.linkedin.",-8400.0,
2025-07-10,"PVR LIMITED, CHENNAI",-1160.0,
2025-07-11,"ATLASSIAN, AMSTERDAM [USD 359.90]",-30876.9,USD 359.90
2025-07-12,"ZEPTO MARKETPLACE PRIV, BANGALORE",-122.99,
2025-07-12,"ZEPTO MARKETPLACE PRIV, BANGALORE",-1.0,
2025-07-12,"SAMPOORNA CATERING FOO, CHEENAI",-1546.0,
2025-07-16,"CLAUDE.AI SUBSCRIPTION, SAN FRANCISCO [USD 200.00]",-17200.83,USD 200.00
2025-07-18,"MICROSOFTBUS, MUMBAI",-5398.91,
2025-07-18,"MICROSOFTBUS, MUMBAI",-42116.85,
2025-07-18,"MICROSOFTBUS, MUMBAI",-12215.38,
2025-07-20,"Absolute Barbeque, CHENNAI",-4481.0,
2025-05-28,"AMBUR STAR BRIYANI, CHENNAI",-961.0,
2025-05-28,"Adobe Systems Software, Bangalore",-9600.0,
2025-05-30,BillDesk BBPS CC Payment/IF035150BAHAAAADKW6R,155076.04,
2025-06-01,"OPENAI *CHATGPT SUBSCR, SAN FRANCISCO [USD 60.00]",-5139.68,USD 60.00
2025-06-02,"SUPABASE, SINGAPORE [USD 25.00]",-2141.53,USD 25.00
2025-06-03,"GITHUB, INC., SAN FRANCISCO [USD 12.00]",-1025.23,USD 12.00
2025-06-03,"GITHUB, INC., SAN FRANCISCO [USD 27.06]",-2320.02,USD 27.06
2025-06-03,"GOOGLECLOUD, MUMBAI",-22.22,
2025-06-04,"CLAUDE.AI SUBSCRIPTION, SAN FRANCISCO [USD 20.00]",-1714.72,USD 20.00
2025-06-05,"COCO INDIRA NAGAR, CHENNAI",-505.9,
2025-06-07,Surcharge waiver for fuel txn,5.0,
2025-06-08,"GITHUB, INC., SAN FRANCISCO [USD 3.20]",-274.87,USD 3.20
2025-06-10,"IND*LINKEDIN (PGSI), www.linkedin.",-8400.0,
2025-06-11,"CLAUDE.AI SUBSCRIPTION, SAN FRANCISCO [USD 200.00]",-17140.6,USD 200.00
2025-06-11,"ATLASSIAN, AMSTERDAM [USD 342.20]",-29327.57,USD 342.20
2025-06-12,"CLAUDE.AI SUBSCRIPTION, SAN FRANCISCO [USD 200.00]",-17107.4,USD 200.00
2025-06-12,"GITHUB, INC., SAN FRANCISCO [USD 8.00]",-684.3,USD 8.00
2025-06-13,"CLAUDE.AI SUBSCRIPTION, SAN FRANCISCO [USD 200.00]",-17136.6,USD 200.00
2025-06-13,"RELIANCEJIO, MUMBAI",-1555.0,
2025-06-13,"MICROSOFTBUS, MUMBAI",-25927.96,
2025-06-13,"RSP*TATA AIG GENERAL I, MUMBAI",-1996.0,
2025-06-14,"TRAVEL CLUB LOUNGE, CHENNAI",-2.0,
2025-06-15,"BEST BUY 00002386, BEAUMONT [USD 21.64]",-1865.87,USD 21.64
2025-06-15,"MCDONALDS F4237, BEAUMONT [USD 13.17]",-1135.56,USD 13.17
2025-06-15,"SHOE DEPT 0378, BEAUMONT [USD 61.68]",-5318.23,USD 61.68
2025-06-15,"UBER *TRIP HELP.UBER.C, 8005928996 [USD 8005928996.00]",-1287.31,USD 8005928996.00
2025-06-15,"UBER INDIA SYSTE PVT L, NOIDA",-2.0,
2025-06-16,"UBER *TRIP HELP.UBER.C, 8005928996 [USD 8005928996.00]",-1545.12,USD 8005928996.00
2025-06-16,"AMAZON MKTPL*NA0ZG4MI0, Amzn.com/bill [USD 42.78]",-3688.62,USD 42.78
2025-06-17,"UBER INDIA SYSTE PVT L, NOIDA",2.0,
2025-06-17,"AMAZON MARK* NO15L6PA2, SEATTLE [USD 363.04]",-31302.4,USD 363.04
2025-06-19,"AMAZON MARK* NO9TV13F1, SEATTLE [USD 80.60]",-6978.06,USD 80.60
2025-04-23,"GOOGLECLOUD, MUMBAI",-2.0,
2025-04-24,"IND*LINKEDIN (PGSI), www.linkedin.",-1980.01,
2025-04-25,"CLAUDE.AI SUBSCRIPTION, SAN FRANCISCO [USD 200.00]",-17086.0,USD 200.00
2025-04-30,BillDesk BBPS CC Payment/IF035120BAHAAAADF5JU,136789.98,
2025-05-02,"GOOGLECLOUD, MUMBAI",2.0,
2025-05-03,"GOOGLECLOUD, MUMBAI",-8.83,
2025-05-06,"KITES, CHEENAI",-1047.0,
2025-05-06,"AMAZON PAY INDIA PRIVA, Bangalore",-3343.0,
2025-05-07,"COCO INDIRA NAGAR, CHENNAI",-505.9,
2025-05-07,"BOOKMYSHOW, MUMBAI",-915.76,
2025-05-08,"IND*LINKEDIN, http://www.li",-7270.62,
2025-05-09,Surcharge waiver for fuel txn,5.0,
2025-05-11,"MICROSOFTBUS, MUMBAI",-58150.4,
2025-05-12,"ATLASSIAN, AMSTERDAM [USD 349.52]",-29902.73,USD 349.52
2025-05-16,"MICROSOFTBUS, MUMBAI",-24066.03,
2025-05-17,"THE VIRIDIAN PLATE, CHENNAI",-2150.0,
2025-05-18,"PALMSHORE RESTAURANT, CHENNAI",-7739.0,
2025-08-21,"AIONION MARKETING, DUBAI [USD 765.00]",-66645.27,USD 765.00
2025-08-22,"AMAZON PAY INDIA PRIVA, www.amazon.in",-32270.57,
2025-08-23,BillDesk BBPS CC Payment/IF035235BAIAAAADZ4GU,403224.4,
2025-08-23,"COCO INDIRA NAGAR, CHENNAI",-4047.2,
2025-08-23,"TATA AIG GENERAL INS, MUMBAI",-11903.6,
2025-08-23,"TATA AIG GENERAL INS, MUMBAI",-16127.74,
2025-08-23,"TATA AIG GENERAL INS, MUMBAI",-14001.6,
2025-08-23,"SFILKFC6772, CHENNAI",-2005.01,
2025-08-25,Surcharge waiver for fuel txn,40.0,
2025-08-25,"AMAZON PAY INDIA Pvt L, Bangalore",-226.1,
2025-08-26,"AMAZON WEB SERVICES, MUMBAI",-79963.46,
2025-08-28,"AMAZON PAY INDIA Pvt L, Bangalore",-226.1,
2025-08-29,BillDesk BBPS CC Payment/IF035241BAIAAAAD0YGH,227150.0,
2025-08-29,"CLAUDE.AI SUBSCRIPTION, SAN FRANCISCO [USD 200.00]",-17532.6,USD 200.00
2025-08-29,"GROQ INC, MOUNTAIN VIEW [USD 9.00]",-788.97,USD 9.00
2025-09-01,"HYPERBROWSER.AI, SAN FRANCISCO [USD 30.00]",-2649.27,USD 30.00
2025-09-03,"GOOGLECLOUD, MUMBAI",-1084.7,
2025-09-03,"GOOGLEPLAY, MUMBAI",-349.0,
2025-09-03,"GOOGLEWORKSP, MUMBAI",-4889.41,
2025-09-04,"SUPABASE, SINGAPORE [USD 25.01]",-2205.51,USD 25.01
